index,mid,display_name
0,/m/09x0r,Speech
1,/m/0ytgt,Child_Speech
2,/m/01h8n0,Conversation
3,/m/02qldy,Narration
4,/m/0261r1,Babbling
5,/m/0brhx,Speech_Synthesizer
6,/m/07p6fty,Shout
7,/m/07q4ntr,Bellow
8,/m/07rwj3x,Whoop
9,/m/07sr1lc,Yell
10,/t/dd00135,Children_Shouting
11,/m/03qc9zr,Screaming
12,/m/02rtxlg,Whispering
13,/m/01j3sz,Laughter
14,/t/dd00001,Baby_Laughter
15,/m/07r660_,Giggle
16,/m/07s04w4,Snicker
17,/m/07sq110,Belly_Laugh
18,/m/07rgt08,Chuckle
19,/m/0463cq4,Crying
20,/t/dd00002,Baby_cry
21,/m/07qz6j3,Whimper
22,/m/07qw_06,Wail
23,/m/07plz5l,Sigh
24,/m/015lz1,Singing
25,/m/0l14jd,Choir
26,/m/01swy6,Yodeling
27,/m/02bk07,Chant
28,/m/01c194,Mantra
29,/t/dd00005,Child_Singing
30,/t/dd00006,Synthetic_Singing
31,/m/06bxc,Rapping
32,/m/02fxyj,Humming
33,/m/07s2xch,Groan
34,/m/07r4k75,Grunt
35,/m/01w250,Whistling
36,/m/0lyf6,Breathing
37,/m/07mzm6,Wheeze
38,/m/01d3sd,Snoring
39,/m/07s0dtb,Gasp
40,/m/07pyy8b,Pant
41,/m/07q0yl5,Snort
42,/m/01b_21,Cough
43,/m/0dl9sf8,Throat_Clearing
44,/m/01hsr_,Sneeze
45,/m/07ppn3j,Sniff
46,/m/06h7j,Run
47,/m/07qv_x_,Shuffle
48,/m/07pbtc8,Footsteps
49,/m/03cczk,Chewing
50,/m/07pdhp0,Biting
51,/m/0939n_,Gargling
52,/m/01g90h,Stomach_Rumble
53,/m/03q5_w,Burping
54,/m/02p3nc,Hiccup
55,/m/02_nn,Fart
56,/m/0k65p,Hands
57,/m/025_jnm,Finger_Snapping
58,/m/0l15bq,Clapping
59,/m/01jg02,Heartbeat
60,/m/01jg1z,Heart_murmur
61,/m/053hz1,Cheering
62,/m/028ght,Applause
63,/m/07rkbfh,Chatter
64,/m/03qtwd,Crowd
65,/m/07qfr4h,Speech_Noise
66,/t/dd00013,Children_Playing
67,/m/0jbk,Animal
68,/m/068hy,Domestic_animals
69,/m/0bt9lr,Dog
70,/m/05tny_,Bark
71,/m/07r_k2n,Yip
72,/m/07qf0zm,Howl
73,/m/07rc7d9,Bow-wow
74,/m/0ghcn6,Growling
75,/t/dd00136,Dog_Whimper
76,/m/01yrx,Cat
77,/m/02yds9,Purr
78,/m/07qrkrw,Meow
79,/m/07rjwbb,Hiss
80,/m/07r81j2,Caterwaul
81,/m/0ch8v,Livestock
82,/m/03k3r,Horse
83,/m/07rv9rh,Clip-clop
84,/m/07q5rw0,Neigh_Whinny
85,/m/01xq0k1,Cattle_Bovinae
86,/m/07rpkh9,Moo
87,/m/0239kh,Cowbell
88,/m/068zj,Pig
89,/t/dd00018,Oink
90,/m/03fwl,Goat
91,/m/07q0h5t,Bleat
92,/m/07bgp,Sheep
93,/m/025rv6n,Fowl
94,/m/09b5t,Chicken
95,/m/07st89h,Cluck
96,/m/07qn5dc,Crowing
97,/m/01rd7k,Turkey
98,/m/07svc2k,Gobble
99,/m/09ddx,Duck
100,/m/07qdb04,Quack
101,/m/0dbvp,Goose
102,/m/07qwf61,Honk
103,/m/01280g,Wild_Animals
104,/m/0cdnk,Roaring_cats
105,/m/04cvmfc,Roar
106,/m/015p6,Bird
107,/m/020bb7,Bird_vocalization
108,/m/07pggtn,Chirp
109,/m/07sx8x_,Squawk
110,/m/0h0rv,Pigeon
111,/m/07r_25d,Coo
112,/m/04s8yn,Crow
113,/m/07r5c2p,Caw
114,/m/09d5_,Owl
115,/m/07r_80w,Hoot
116,/m/05_wcq,Bird_flight
117,/m/01z5f,Canidae
118,/m/06hps,Rodents
119,/m/04rmv,Mouse
120,/m/07r4gkf,Patter
121,/m/03vt0,Insect
122,/m/09xqv,Cricket
123,/m/09f96,Mosquito
124,/m/0h2mp,Fly
125,/m/07pjwq1,Buzz
126,/m/01h3n,Bee
127,/m/09ld4,Frog
128,/m/07st88b,Croak
129,/m/078jl,Snake
130,/m/07qn4z3,Rattle
131,/m/032n05,Whale_Vocalization
132,/m/04rlf,Music
133,/m/04szw,Musical_Instrument
134,/m/0fx80y,Plucked_String
135,/m/0342h,Guitar
136,/m/02sgy,Electric_Guitar
137,/m/018vs,Bass_Guitar
138,/m/042v_gx,Acoustic_Guitar
139,/m/06w87,Steel_guitar
140,/m/01glhc,Tapping
141,/m/07s0s5r,Strum
142,/m/018j2,Banjo
143,/m/0jtg0,Sitar
144,/m/04rzd,Mandolin
145,/m/01bns_,Zither
146,/m/07xzm,Ukulele
147,/m/05148p4,Keyboard
148,/m/05r5c,Piano
149,/m/01s0ps,Electric_Piano
150,/m/013y1f,Organ
151,/m/03xq_f,Electronic_Organ
152,/m/03gvt,Hammond_Organ
153,/m/0l14qv,Synthesizer
154,/m/01v1d8,Sampler
155,/m/03q5t,Harpsichord
156,/m/0l14md,Percussion
157,/m/02hnl,Drum_kit
158,/m/0cfdd,Drum_machine
159,/m/026t6,Drum
160,/m/06rvn,Snare_drum
161,/m/03t3fj,Rimshot
162,/m/02k_mr,Drum_roll
163,/m/0bm02,Bass_drum
164,/m/011k_j,Timpani
165,/m/01p970,Tabla
166,/m/01qbl,Cymbal
167,/m/03qtq,Hi-hat
168,/m/01sm1g,Wood_block
169,/m/07brj,Tambourine
170,/m/05r5wn,Rattle_(instrument)
171,/m/0xzly,Maraca
172,/m/0mbct,Gong
173,/m/016622,Tubular_bells
174,/m/0j45pbj,Mallet_percussion
175,/m/0dwsp,Marimba
176,/m/0dwtp,Glockenspiel
177,/m/0dwt5,Vibraphone
178,/m/0l156b,Steelpan
179,/m/05pd6,Orchestra
180,/m/01kcd,Brass_instrument
181,/m/0319l,French_horn
182,/m/07gql,Trumpet
183,/m/07c6l,Trombone
184,/m/0l14_3,Bowed_string_instrument
185,/m/02qmj0d,String_section
186,/m/07y_7,Violin
187,/m/0d8_n,Pizzicato
188,/m/01xqw,Cello
189,/m/02fsn,Double_bass
190,/m/085jw,Wind_instrument
191,/m/0l14j_,Flute
192,/m/06ncr,Saxophone
193,/m/01wy6,Clarinet
194,/m/03m5k,Harp
195,/m/0395lw,Bell
196,/m/03w41f,Church_bell
197,/m/027m70_,Jingle_bell
198,/m/0gy1t2s,Bicycle_bell
199,/m/07n_g,Tuning_fork
200,/m/0f8s22,Chime
201,/m/026fgl,Wind_chime
202,/m/0150b9,Change_ringing_(campanology)
203,/m/03qjg,Harmonica
204,/m/0mkg,Accordion
205,/m/0192l,Bagpipes
206,/m/02bxd,Didgeridoo
207,/m/0l14l2,Shofar
208,/m/07kc_,Theremin
209,/m/0l14t7,Singing_bowl
210,/m/01hgjl,Scratching_(performance_technique)
211,/m/064t9,Pop_music
212,/m/0glt670,Hip_hop_music
213,/m/02cz_7,Beatboxing
214,/m/06by7,Rock_music
215,/m/03lty,Heavy_metal
216,/m/05r6t,Punk_rock
217,/m/0dls3,Grunge
218,/m/0dl5d,Progressive_rock
219,/m/07sbbz2,Rock_and_roll
220,/m/05w3f,Psychedelic_rock
221,/m/06j6l,Rhythm_and_blues
222,/m/0gywn,Soul_music
223,/m/06cqb,Reggae
224,/m/01lyv,Country
225,/m/015y_n,Swing_music
226,/m/0gg8l,Bluegrass
227,/m/02x8m,Funk
228,/m/02w4v,Folk_music
229,/m/06j64v,Middle_Eastern_music
230,/m/03_d0,Jazz
231,/m/026z9,Disco
232,/m/0ggq0m,Classical_music
233,/m/05lls,Opera
234,/m/02lkt,Electronic_music
235,/m/03mb9,House_music
236,/m/07gxw,Techno
237,/m/07s72n,Dubstep
238,/m/0283d,Drum_and_bass
239,/m/0m0jc,Electronica
240,/m/08cyft,Electronic_dance_music
241,/m/0fd3y,Ambient_music
242,/m/07lnk,Trance_music
243,/m/0g293,Music_of_Latin_America
244,/m/0ln16,Salsa_music
245,/m/0326g,Flamenco
246,/m/0155w,Blues
247,/m/05fw6t,Music_for_children
248,/m/02v2lh,New-age_music
249,/m/0y4f8,Vocal_music
250,/m/0z9c,A_capella
251,/m/0164x2,Music_of_Africa
252,/m/0145m,Afrobeat
253,/m/02mscn,Christian_music
254,/m/016cjb,Gospel_music
255,/m/028sqc,Music_of_Asia
